#Release 14.1 - par P.15xf (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb 25 16:58:55 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       GPPTestCircuit_map.ncd
#OUTPUT FILE:      GPPTestCircuit_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P26,anodes<1>,IOB,IO_L02P_2/DOUT/BUSY,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P27,,DIFFS,IO_L02N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,,,GND,,,,,,,,,,,,
P30,,DIFFSI,IP/VREF_2,UNUSED,,2,,,,,,,,,
P31,,,VCCO_2,,,2,,,,,3.30,,,,
P32,,DIFFM,IO_L03P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
P33,cathodes<4>,IOB,IO_L03N_2/D6/GCLK13,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P34,,IOB,IO/D5,UNUSED,,2,,,,,,,,,
P35,cathodes<5>,IOB,IO_L04P_2/D4/GCLK14,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P36,,DIFFS,IO_L04N_2/D3/GCLK15,UNUSED,,2,,,,,,,,,
P37,,,GND,,,,,,,,,,,,
P38,,DIFFMI,IP_L05P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
P39,,DIFFSI,IP_L05N_2/M2/GCLK1,UNUSED,,2,,,,,,PROHIBITED,,,
P40,cathodes<2>,IOB,IO_L06P_2/D2/GCLK2,OUTPUT,LVTTL,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P41,,DIFFS,IO_L06N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P42,,IOB,IO/M1,UNUSED,,2,,,,,,PROHIBITED,,,
P43,,DIFFM,IO_L07P_2/M0,UNUSED,,2,,,,,,PROHIBITED,,,
P44,,DIFFS,IO_L07N_2/DIN/D0,UNUSED,,2,,,,,,,,,
P45,,,VCCO_2,,,2,,,,,3.30,,,,
P46,,,VCCAUX,,,,,,,,2.5,,,,
P47,,DIFFM,IO_L08P_2/VS2,UNUSED,,2,,,,,,PROHIBITED,,,
P48,,DIFFS,IO_L08N_2/VS1,UNUSED,,2,,,,,,PROHIBITED,,,
P49,,DIFFM,IO_L09P_2/VS0,UNUSED,,2,,,,,,PROHIBITED,,,
P50,,DIFFS,IO_L09N_2/CCLK,UNUSED,,2,,,,,,,,,
P51,,,DONE,,,,,,,,,,,,
P52,,,GND,,,,,,,,,,,,
P53,cathodes<3>,IOB,IO_L01P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P54,,DIFFS,IO_L01N_1,UNUSED,,1,,,,,,,,,
P55,,,VCCO_1,,,1,,,,,3.30,,,,
P56,,,VCCINT,,,,,,,,1.2,,,,
P57,cathodes<0>,IOB,IO_L02P_1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P58,,DIFFS,IO_L02N_1,UNUSED,,1,,,,,,,,,
P59,,,GND,,,,,,,,,,,,
P60,anodes<2>,IOB,IO_L03P_1/RHCLK0,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P61,,DIFFS,IO_L03N_1/RHCLK1,UNUSED,,1,,,,,,,,,
P62,cathodes<6>,IOB,IO_L04P_1/RHCLK2,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P63,,DIFFS,IO_L04N_1/RHCLK3/TRDY1,UNUSED,,1,,,,,,,,,
P64,,,GND,,,,,,,,,,,,
P65,cathodes<1>,IOB,IO_L05P_1/RHCLK4/IRDY1,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P66,,DIFFS,IO_L05N_1/RHCLK5,UNUSED,,1,,,,,,,,,
P67,anodes<3>,IOB,IO_L06P_1/RHCLK6,OUTPUT,LVTTL,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P68,,DIFFS,IO_L06N_1/RHCLK7,UNUSED,,1,,,,,,,,,
P69,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
P70,,DIFFM,IO_L07P_1,UNUSED,,1,,,,,,,,,
P71,,DIFFS,IO_L07N_1,UNUSED,,1,,,,,,,,,
P72,,,GND,,,,,,,,,,,,
P73,,,VCCO_1,,,1,,,,,3.30,,,,
P74,,,VCCAUX,,,,,,,,2.5,,,,
P75,,,TMS,,,,,,,,,,,,
P76,,,TDO,,,,,,,,,,,,
P77,,,TCK,,,,,,,,,,,,
P78,,DIFFM,IO_L01P_0,UNUSED,,0,,,,,,,,,
P79,,DIFFS,IO_L01N_0,UNUSED,,0,,,,,,,,,
P80,,,VCCINT,,,,,,,,1.2,,,,
P81,,,GND,,,,,,,,,,,,
P82,,,VCCO_0,,,0,,,,,3.30,,,,
P83,,DIFFM,IO_L02P_0/GCLK4,UNUSED,,0,,,,,,,,,
P84,,DIFFS,IO_L02N_0/GCLK5,UNUSED,,0,,,,,,,,,
P85,,DIFFM,IO_L03P_0/GCLK6,UNUSED,,0,,,,,,,,,
P86,,DIFFS,IO_L03N_0/GCLK7,UNUSED,,0,,,,,,,,,
P87,,,GND,,,,,,,,,,,,
P88,,DIFFMI,IP_L04P_0/GCLK8,UNUSED,,0,,,,,,,,,
P89,clk,IBUF,IP_L04N_0/GCLK9,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P90,,DIFFM,IO_L05P_0/GCLK10,UNUSED,,0,,,,,,,,,
P91,SW<7>,IBUF,IO_L05N_0/GCLK11,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P92,SW<6>,IBUF,IO,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P93,,,GND,,,,,,,,,,,,
P94,SW<5>,IBUF,IO_L06P_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P95,SW<4>,IBUF,IO_L06N_0/VREF_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P96,,,VCCAUX,,,,,,,,2.5,,,,
P97,,,VCCO_0,,,0,,,,,3.30,,,,
P98,SW<3>,IBUF,IO_L07P_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P99,,DIFFS,IO_L07N_0/HSWAP,UNUSED,,0,,,,,,PROHIBITED,,,
P100,,,TDI,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
